month,net_t,source,note
2025-09,39.0,https://www.gold.org/goldhub/gold-focus/2025/11/central-bank-gold-statistics-september-2025,meta-description
2025-10,53.0,https://www.gold.org/goldhub/gold-focus/2025/12/central-bank-gold-statistics-central-banks-ramp-gold-buying-october,as-published
2025-11,45.0,https://www.gold.org/goldhub/gold-focus/2026/01/central-bank-gold-statistics-buying-momentum-continues-november,as-published
2025-12,19.0,https://www.gold.org/goldhub/gold-focus/2026/02/central-bank-gold-statistics-december-2025,meta-description
2026-01,5.0,https://www.gold.org/goldhub/gold-focus/2026/03/central-bank-gold-statistics-momentum-eases-january-while-demand-base,as-published
2026-02,27.0,https://www.gold.org/goldhub/gold-focus/2026/04/central-bank-gold-statistics-central-banks-stay-course-gold-february,as-published
2026-03,-30.0,https://www.gold.org/goldhub/gold-focus/2026/05/central-bank-gold-statistics-march-2026,meta-description
2026-04,19.0,https://www.gold.org/goldhub/gold-focus/2026/06/central-bank-gold-statistics-central-banks-resume-net-buying-april,as-published
2026-05,41.0,https://www.gold.org/goldhub/gold-focus/2026/07/central-bank-gold-statistics-central-banks-remain-committed-gold,as-published
2026-06,51.0,https://www.gold.org/goldhub/gold-focus/2026/08/central-bank-gold-statistics-june-2026,meta-description
